iteration,error
1,0.0
2,1.1912730519097776
3,32.25769621326555
4,1.0147141853068726
5,1.281319221293939
6,0.8139477503301744
7,1.6632179671246698
8,0.7850632739362831
9,0.8678292006386054
10,0.7487839479290749
11,0.7369346591878012
12,0.7075614924306992
13,0.6859273164796126
14,0.6634840422693167
15,0.6570220620723494
16,0.6514321055884722
17,0.6458382075538556
18,0.6328733867496277
19,0.6166659374294049
20,0.5926999457346794
21,0.5587665989566264
22,0.5147052639801812
23,0.48171861157807927
24,0.4277294172401869
25,0.40410346087478144
26,0.41107490450786244
27,0.39332752431357404
28,0.3867058924624719
29,0.37508942499208153
30,0.36688942719269035
31,0.36068176188565226
32,0.3520837386114027
33,0.34471486928350137
34,0.3400596273427277
35,0.3332848724257107
36,0.3322246035872763
37,0.322795956096599
38,0.3146252888619541
39,0.30513965811698857
40,0.2953699287847002
41,0.2855700785648651
42,0.2780828050112151
43,0.2816856232152004
44,0.27622530644449
45,0.27017565252372283
46,0.26295288945156614
47,0.25475763102189436
48,0.2458412383522097
49,0.23649790055204628
50,0.23618481268095376
51,0.2397204761150297
52,0.2334161668635864
53,0.22825963562825405
54,0.22340194202577543
55,0.22405549727137067
56,0.2226925575021979
57,0.22249573375848086
58,0.21989845402513297
59,0.21693111730152204
60,0.21351015912649074
61,0.2096238691077358
62,0.20525811097119395
63,0.2004436204424096
64,0.19526508712794913
65,0.18996509177977014
66,0.18495531299188497
67,0.18314940177244143
68,0.19658494518503497
69,0.18017870128850208
70,0.18427110592912138
71,0.17966339541010545
72,0.17796528181923077
73,0.17793555876273304
74,0.1765613622309229
75,0.175135883014444
76,0.17402831262767574
77,0.17221612810963985
78,0.1704287108540949
79,0.16868461345616895
80,0.16643962076310467
81,0.16405458394639788
82,0.1616048871219125
83,0.159062854973301
84,0.16848530519572705
85,0.15908490758218138
86,0.15755634851073447
87,0.15605758921543647
88,0.15491021974323843
89,0.1578899086361335
90,0.154712353451072
91,0.15375707877198097
92,0.15296057716002284
93,0.1532004801300567
94,0.1526711007903331
95,0.15235850217938013
96,0.1521647777953662
97,0.15159451541368316
98,0.15093485800292425
99,0.15017517242062003
100,0.14929878661372956
100,0.14929878661372956
1,0.0
2,0.14979224299564387
3,249.62774815321401
4,16.7164478715334
5,31.431635227620088
6,5.438586000783238
7,1.983850246430038
8,1.5323024122435238
9,0.5609902417902148
10,1.3513422829200337
11,0.48077217546438317
12,0.5812295691401502
13,0.4293292908365374
14,0.4005175638876355
15,0.35765704948863036
16,0.3176003181058688
17,0.2905817911905403
18,0.24823609162437746
19,0.2185278048774608
20,0.19802488397790224
21,0.1753549105422077
22,0.15537495601061918
23,0.13475041588704334
24,0.13376795562061322
25,0.13407460774567445
26,0.12830379573959055
27,0.12665232501649148
28,0.12859870754206762
29,0.12488979699224032
30,0.12614417600679048
31,0.12467511585143962
32,0.12394041937985802
33,0.12376687182899009
34,0.12375950793121437
35,0.12314301239906875
36,0.12283349125524126
37,0.12251087059137339
38,0.12207194754283608
39,0.12169049133026179
40,0.12136352305042143
41,0.12102482195482282
42,0.1206831134994315
43,0.12112567013299594
44,0.1205859372301566
45,0.12053775037718632
46,0.12030928613965212
47,0.12014596160453257
48,0.11994559017603595
49,0.1197332053437242
50,0.11951674733019434
51,0.11931118547649923
52,0.1191237619840894
53,0.11895641552559134
54,0.1190689503871208
55,0.11877342001876069
56,0.11864187061742519
57,0.11850051595910689
58,0.1183135695114205
59,0.11807880410084233
60,0.11780911621648726
61,0.11750266800519418
62,0.11716054164353644
63,0.11678131854477625
64,0.11637585470552836
65,0.1159629740809577
66,0.11566438209625451
67,0.11636495583309073
68,0.11552972845896112
69,0.11524799611946249
70,0.11499467115434318
71,0.1146929517959015
72,0.1143634087822538
73,0.11396855983660888
74,0.11354361138782494
75,0.1131145485870933
76,0.11258885550793955
77,0.1120236915412197
78,0.11143867344419744
79,0.11094064546537628
80,0.11617321840128822
81,0.11110406833357057
82,0.11219558182980391
83,0.11110153072827277
84,0.11111501606735531
85,0.11109859863804436
86,0.11097474351922815
87,0.11087846191638569
88,0.11084307751316294
89,0.11082413827035813
90,0.11074879026398474
91,0.11066608459296084
92,0.11057339333624383
93,0.11047021658901195
94,0.11035709865011795
95,0.1103639991562381
96,0.11029136647605178
97,0.11029007579819446
98,0.11021941401929579
99,0.11013603484060491
100,0.11004062351114187
100,0.11004062351114187
1,0.0
2,0.11165287436623221
3,380.747202820523
4,0.12325756546642244
5,72.65520088519615
6,1.9359371288077343
7,12.785424454990718
8,0.8806113599267207
9,1.6758830707382941
10,0.5061426400348416
11,0.24441728396728812
12,0.4314844302079224
13,0.1754377011084673
14,0.3289657064688135
15,0.16622259891961988
16,0.18144412045072547
17,0.15436978189216444
18,0.14788073755403827
19,0.1455548613849157
20,0.13638918702065428
21,0.13377413592632315
22,0.12866934155335888
23,0.12632483902030806
24,0.12622252656723695
25,0.1251148077384727
26,0.12374592720045488
27,0.12292187782952856
28,0.12182338767174476
29,0.12073275702352357
30,0.11985306187624396
31,0.11909371151100101
32,0.11874342533313514
33,0.11742146438890481
34,0.11638030156409639
35,0.11533370057064964
36,0.1144754220269437
37,0.11342322551716105
38,0.11255589662731855
39,0.1161755986857867
40,0.11229750555340841
41,0.11238530236531723
42,0.11195043385845119
43,0.11204106400749689
44,0.11179474644680593
45,0.1115697281396226
